borough,cuisine,name,rating,reduced_cuisine
Manhattan,Speakeasies,Sushi By Sea,5.0,Bars & Nightlife
Manhattan,Waffles,Boongs cafe,5.0,Desserts & Sweets
Manhattan,Bubble Tea,Boongs cafe,5.0,Cafe & Drinks
Manhattan,Desserts,Boongs cafe,5.0,Desserts & Sweets
Manhattan,Cuban,The Blended Bistro,5.0,Latin American
Manhattan,Sandwiches,The Blended Bistro,5.0,Sandwiches
Manhattan,Salad,The Blended Bistro,5.0,Healthy
Manhattan,Cafes,Vale’s Kafe & Kitchen,5.0,Cafe & Drinks
Manhattan,Breakfast & Brunch,Vale’s Kafe & Kitchen,5.0,American
Manhattan,Korean,Loopy's Eatery,5.0,Asian
Manhattan,Asian Fusion,Loopy's Eatery,5.0,Asian
Manhattan,Cheesesteaks,Loopy's Eatery,5.0,Sandwiches
Manhattan,Cafes,Seitan’s Helper,4.9,Cafe & Drinks
Manhattan,Delis,Seitan’s Helper,4.9,Sandwiches
Manhattan,Vegan,Seitan’s Helper,4.9,Healthy
Manhattan,Brazilian,TAP NYC | 100% Gluten-Free Sandwiches & Açaí Bowls | Astoria,4.9,Latin American
Manhattan,Gluten-Free,TAP NYC | 100% Gluten-Free Sandwiches & Açaí Bowls | Astoria,4.9,Healthy
Manhattan,Acai Bowls,TAP NYC | 100% Gluten-Free Sandwiches & Açaí Bowls | Astoria,4.9,Desserts & Sweets
Manhattan,Desserts,Sweets & Cafe Bakery,4.9,Desserts & Sweets
Manhattan,Coffee & Tea,Sweets & Cafe Bakery,4.9,Cafe & Drinks
Manhattan,Cafes,Sweets & Cafe Bakery,4.9,Cafe & Drinks
Manhattan,Gluten-Free,Crepe Master,4.9,Healthy
Manhattan,Juice Bars & Smoothies,Crepe Master,4.9,Cafe & Drinks
Manhattan,Creperies,Crepe Master,4.9,Desserts & Sweets
Manhattan,Indian,Nabhya Indian Restaurant,4.9,Asian
Manhattan,Desserts,Nabhya Indian Restaurant,4.9,Desserts & Sweets
Manhattan,Soup,Nabhya Indian Restaurant,4.9,Asian
Manhattan,Sushi Bars,Idashi Omakase,4.9,Asian
Manhattan,Beer Bar,Idashi Omakase,4.9,Bars & Nightlife
Manhattan,Organic Stores,Green Basket & More,4.9,Other
Manhattan,Delis,Green Basket & More,4.9,Sandwiches
Manhattan,Food Trucks,Brockenzo Neapolitan Pizza,4.9,Street Food
Manhattan,Pizza,Brockenzo Neapolitan Pizza,4.9,European
Manhattan,Food Trucks,Green Gorilla Kitchen,4.9,Street Food
Manhattan,Empanadas,Green Gorilla Kitchen,4.9,Latin American
Manhattan,Burgers,Green Gorilla Kitchen,4.9,American
Manhattan,Cafes,Black Cuppy,4.9,Cafe & Drinks
Manhattan,Coffee & Tea,Sunnyside Bro’s Café,4.9,Cafe & Drinks
Manhattan,Burgers,Sunnyside Bro’s Café,4.9,American
Manhattan,Sandwiches,Sunnyside Bro’s Café,4.9,Sandwiches
Manhattan,Pubs,Chasers,4.9,Bars & Nightlife
Manhattan,American,Chasers,4.9,American
Manhattan,Sandwiches,Sea & Soil,4.9,Sandwiches
Manhattan,Bakeries,Sea & Soil,4.9,Other
Manhattan,Indian,Gulab Indian Restaurant,4.9,Asian
Manhattan,Coffee & Tea,Laisha's Coffee Shop,4.9,Cafe & Drinks
Manhattan,Sandwiches,Laisha's Coffee Shop,4.9,Sandwiches
